Biograf;By;Forestillingstidspunkt;Filmtitel;Filmgenre;Filmvarighed;Filminstruktør;Premieredato;Bookingmail;Bookingtelefonnummer
Nordisk Film;Odense;15-11-2019 21:00:00;Ayka;Drama;01:40:00;Sergei Dvortsevoy;07-11-2019;fukuchi@live.com;39221607
Nordisk Film;Odense;23-12-2019 15:00:00;Ayka;Drama;01:40:00;Sergei Dvortsevoy;07-11-2019;paina@icloud.com;12428941
Nordisk Film;Århus;23-12-2019 15:00:00;Ayka;Drama;01:40:00;Sergei Dvortsevoy;07-11-2019;tjensen@yahoo.ca;71817409
Nordisk Film;Århus;23-12-2019 15:00:00;Ayka;Drama;01:40:00;Sergei Dvortsevoy;07-11-2019;muadip@sbcglobal.net;56800833
Cinemaxx;Odense;05-04-2019 19:00:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14:00;Bryan Singer;02-11-2018;thowell@live.com;93755908
Cinemaxx;Odense;01-01-2019 21:00:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14:00;Bryan Singer;02-11-2018;dbindel@mac.com;92059231
Cinemaxx;Odense;30-11-2018 15:00:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14:00;Bryan Singer;02-11-2018;kassiesa@me.com;81876567
Cinemaxx;Århus;05-04-2019 19:00:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14:00;Bryan Singer;02-11-2018;nichoj@me.com;40940316
Cinemaxx;Århus;01-01-2019 21:00:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14:00;Bryan Singer;02-11-2018;imightb@me.com;16706901
Nordisk Film;Odense;30-11-2018 15:00:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14:00;Bryan Singer;02-11-2018;camenisch@yahoo.com;35024212
Nordisk Film;Odense;12-02-2019 21:00:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14:00;Bryan Singer;02-11-2018;bulletin@yahoo.com;68533628
Nordisk Film;Odense;12-12-2018 21:00:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14:00;Bryan Singer;02-11-2018;tedrlord@verizon.net;60351922
Nordisk Film;Århus;26-12-2018 19:00:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14:00;Bryan Singer;02-11-2018;ngedmond@att.net;23716329
Nordisk Film;Århus;02-05-2019 15:00:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14:00;Bryan Singer;02-11-2018;aglassis@gmail.com;40037990
Cinemaxx;Odense;25-12-2017 19:00:00;Darkest Hour;Biography, Drama, History ;02:05:00;Joe Wright;22-12-2017;ideguy@icloud.com;53029064
Cinemaxx;Odense;02-01-2018 21:00:00;Darkest Hour;Biography, Drama, History ;02:05:00;Joe Wright;22-12-2017;ngedmond@aol.com;57519890
Cinemaxx;Odense;03-01-2018 21:00:00;Darkest Hour;Biography, Drama, History ;02:05:00;Joe Wright;22-12-2017;khris@hotmail.com;33417420
Cinemaxx;Århus;25-12-2017 19:00:00;Darkest Hour;Biography, Drama, History ;02:05:00;Joe Wright;22-12-2017;scarlet@hotmail.com;19245648
Cinemaxx;Århus;05-02-2018 15:00:00;Darkest Hour;Biography, Drama, History ;02:05:00;Joe Wright;22-12-2017;gknauss@live.com;54080732
Nordisk Film;Odense;05-02-2018 15:00:00;Darkest Hour;Biography, Drama, History ;02:05:00;Joe Wright;22-12-2017;paina@verizon.net;21775017
Nordisk Film;Odense;25-12-2017 19:00:00;Darkest Hour;Biography, Drama, History ;02:05:00;Joe Wright;22-12-2017;fraser@live.com;69980814
Nordisk Film;Odense;05-02-2018 15:00:00;Darkest Hour;Biography, Drama, History ;02:05:00;Joe Wright;22-12-2017;hling@yahoo.com;79234643
Nordisk Film;Århus;25-12-2017 19:00:00;Darkest Hour;Biography, Drama, History ;02:05:00;Joe Wright;22-12-2017;pplinux@comcast.net;27899076
Nordisk Film;Århus;26-12-2017 19:00:00;Darkest Hour;Biography, Drama, History ;02:05:00;Joe Wright;22-12-2017;hampton@sbcglobal.net;78365253
Cinemaxx;Odense;01-12-2019 19:00:00;Dogman;Crime, Drama, Thriller ;01:43:00;Matteo Garrone;12-04-2019;ubergeeb@gmail.com;45782606
Cinemaxx;Odense;01-12-2019 19:00:00;Dogman;Crime, Drama, Thriller ;01:43:00;Matteo Garrone;12-04-2019;jmmuller@msn.com;70442232
Cinemaxx;Odense;01-12-2019 19:00:00;Dogman;Crime, Drama, Thriller ;01:43:00;Matteo Garrone;12-04-2019;thaljef@mac.com;49807733
Cinemaxx;Århus;15-11-2019 21:00:00;Dogman;Crime, Drama, Thriller ;01:43:00;Matteo Garrone;12-04-2019;pgolle@live.com;69593061
Cinemaxx;Århus;15-11-2019 21:00:00;Dogman;Crime, Drama, Thriller ;01:43:00;Matteo Garrone;12-04-2019;trygstad@optonline.net;32049093
Nordisk Film;Odense;15-11-2019 21:00:00;Dogman;Crime, Drama, Thriller ;01:43:00;Matteo Garrone;12-04-2019;monopole@verizon.net;17631511
Nordisk Film;Odense;15-11-2019 21:00:00;Dogman;Crime, Drama, Thriller ;01:43:00;Matteo Garrone;12-04-2019;parrt@att.net;85501560
Nordisk Film;Odense;23-12-2019 15:00:00;Dogman;Crime, Drama, Thriller ;01:43:00;Matteo Garrone;12-04-2019;errxn@icloud.com;77010215
Nordisk Film;Århus;23-12-2019 15:00:00;Dogman;Crime, Drama, Thriller ;01:43:00;Matteo Garrone;12-04-2019;ducasse@verizon.net;25666320
Nordisk Film;Århus;23-12-2019 15:00:00;Dogman;Crime, Drama, Thriller ;01:43:00;Matteo Garrone;12-04-2019;falcao@outlook.com;72691152
Cinemaxx;Odense;22-07-2017 19:00:00;Dunkirk;Action, Drama, History;01:46:00;Christopher Nolan;21-07-2017;webinc@att.net;84961907
Cinemaxx;Odense;23-07-2017 19:00:00;Dunkirk;Action, Drama, History;01:46:00;Christopher Nolan;21-07-2017;kenja@comcast.net;28751217
Cinemaxx;Odense;24-07-2017 19:00:00;Dunkirk;Action, Drama, History;01:46:00;Christopher Nolan;21-07-2017;boftx@mac.com;59006266
Cinemaxx;Århus;25-07-2017 19:00:00;Dunkirk;Action, Drama, History;01:46:00;Christopher Nolan;21-07-2017;formis@gmail.com;82613462
Cinemaxx;Århus;22-07-2017 19:00:00;Dunkirk;Action, Drama, History;01:46:00;Christopher Nolan;21-07-2017;jfriedl@hotmail.com;72805770
Nordisk Film;Odense;23-07-2017 19:00:00;Dunkirk;Action, Drama, History;01:46:00;Christopher Nolan;21-07-2017;houle@live.com;25078517
Nordisk Film;Odense;24-07-2017 19:00:00;Dunkirk;Action, Drama, History;01:46:00;Christopher Nolan;21-07-2017;smcnabb@outlook.com;34872134
Nordisk Film;Odense;22-07-2017 19:00:00;Dunkirk;Action, Drama, History;01:46:00;Christopher Nolan;21-07-2017;dleconte@me.com;80798088
Nordisk Film;Århus;23-07-2017 19:00:00;Dunkirk;Action, Drama, History;01:46:00;Christopher Nolan;21-07-2017;daveed@yahoo.ca;66647808
Nordisk Film;Århus;24-07-2017 19:00:00;Dunkirk;Action, Drama, History;01:46:00;Christopher Nolan;21-07-2017;luebke@yahoo.com;69383771
Cinemaxx;Odense;05-04-2019 19:00:00;Green Book;Biography, Comedy, Drama;02:10:00;Peter Farrelly;16-11-2018;cliffski@comcast.net;84523603
Cinemaxx;Odense;01-01-2019 21:00:00;Green Book;Biography, Comedy, Drama;02:10:00;Peter Farrelly;16-11-2018;flaviog@hotmail.com;61368923
Cinemaxx;Odense;30-11-2018 15:00:00;Green Book;Biography, Comedy, Drama;02:10:00;Peter Farrelly;16-11-2018;thrymm@msn.com;13570508
Cinemaxx;Århus;05-04-2019 19:00:00;Green Book;Biography, Comedy, Drama;02:10:00;Peter Farrelly;16-11-2018;osaru@mac.com;85983446
Cinemaxx;Århus;01-01-2019 21:00:00;Green Book;Biography, Comedy, Drama;02:10:00;Peter Farrelly;16-11-2018;shaffei@optonline.net;47047274
Nordisk Film;Odense;30-11-2018 15:00:00;Green Book;Biography, Comedy, Drama;02:10:00;Peter Farrelly;16-11-2018;khris@hotmail.com;77458806
Nordisk Film;Odense;12-02-2019 21:00:00;Green Book;Biography, Comedy, Drama;02:10:00;Peter Farrelly;16-11-2018;wbarker@att.net;56644133
Nordisk Film;Odense;12-12-2018 21:00:00;Green Book;Biography, Comedy, Drama;02:10:00;Peter Farrelly;16-11-2018;cameron@optonline.net;87268962
Nordisk Film;Århus;26-12-2018 19:00:00;Green Book;Biography, Comedy, Drama;02:10:00;Peter Farrelly;16-11-2018;nanop@hotmail.com;90108943
Nordisk Film;Århus;02-05-2019 15:00:00;Green Book;Biography, Comedy, Drama;02:10:00;Peter Farrelly;16-11-2018;timlinux@yahoo.ca;24409174
Cinemaxx;Odense;01-05-2019 19:00:00;Joker;Crime, Drama, Thriller;02:02:00;Todd Phillips;04-10-2019;gospodin@optonline.net;98956772
Cinemaxx;Odense;01-05-2019 19:00:00;Joker;Crime, Drama, Thriller;02:02:00;Todd Phillips;04-10-2019;kmiller@yahoo.com;69839959
Cinemaxx;Odense;01-05-2019 19:00:00;Joker;Crime, Drama, Thriller;02:02:00;Todd Phillips;04-10-2019;leocharre@aol.com;54137588
Cinemaxx;Århus;30-04-2019 21:00:00;Joker;Crime, Drama, Thriller;02:02:00;Todd Phillips;04-10-2019;agolomsh@yahoo.com;95055850
Cinemaxx;Århus;05-05-2019 19:00:00;Joker;Crime, Drama, Thriller;02:02:00;Todd Phillips;04-10-2019;cumarana@optonline.net;37794677
Nordisk Film;Odense;01-05-2019 19:00:00;Joker;Crime, Drama, Thriller;02:02:00;Todd Phillips;04-10-2019;shang@sbcglobal.net;73558072
Nordisk Film;Odense;29-05-2019 21:00:00;Joker;Crime, Drama, Thriller;02:02:00;Todd Phillips;04-10-2019;rfisher@icloud.com;20680286
Nordisk Film;Odense;29-05-2019 21:00:00;Joker;Crime, Drama, Thriller;02:02:00;Todd Phillips;04-10-2019;dimensio@optonline.net;71714594
Nordisk Film;Århus;29-05-2019 21:00:00;Joker;Crime, Drama, Thriller;02:02:00;Todd Phillips;04-10-2019;gavinls@comcast.net;51718074
Nordisk Film;Århus;30-04-2019 21:00:00;Joker;Crime, Drama, Thriller;02:02:00;Todd Phillips;04-10-2019;mschwartz@live.com;71154222
Cinemaxx;Odense;01-05-2019 19:00:00;Judy;Biography, Drama, Romance;01:58:00;Rupert Goold;04-10-2019;yangyan@yahoo.com;41919090
Cinemaxx;Odense;01-05-2019 19:00:00;Judy;Biography, Drama, Romance;01:58:00;Rupert Goold;04-10-2019;tromey@msn.com;50946127
Cinemaxx;Odense;01-05-2019 19:00:00;Judy;Biography, Drama, Romance;01:58:00;Rupert Goold;04-10-2019;ramollin@hotmail.com;25423648
Cinemaxx;Århus;30-04-2019 21:00:00;Judy;Biography, Drama, Romance;01:58:00;Rupert Goold;04-10-2019;mrdvt@att.net;70305597
Cinemaxx;Århus;05-05-2019 19:00:00;Judy;Biography, Drama, Romance;01:58:00;Rupert Goold;04-10-2019;crypt@yahoo.com;66562566
Nordisk Film;Odense;01-05-2019 19:00:00;Judy;Biography, Drama, Romance;01:58:00;Rupert Goold;04-10-2019;penna@hotmail.com;88981434
Nordisk Film;Odense;29-05-2019 21:00:00;Judy;Biography, Drama, Romance;01:58:00;Rupert Goold;04-10-2019;kobayasi@yahoo.com;98605736
Nordisk Film;Odense;29-05-2019 21:00:00;Judy;Biography, Drama, Romance;01:58:00;Rupert Goold;04-10-2019;dkrishna@aol.com;95936682
Nordisk Film;Århus;29-05-2019 21:00:00;Judy;Biography, Drama, Romance;01:58:00;Rupert Goold;04-10-2019;jipsen@att.net;48557445
Nordisk Film;Århus;30-04-2019 21:00:00;Judy;Biography, Drama, Romance;01:58:00;Rupert Goold;04-10-2019;scitext@outlook.com;99069939
Cinemaxx;Odense;07-12-2019 19:00:00;Little Joe;Drama, Horror, Mystery;01:45:00;Jessica Hausner;06-12-2019;oster@sbcglobal.net;20925215
Cinemaxx;Odense;08-12-2019 19:00:00;Little Joe;Drama, Horror, Mystery;01:45:00;Jessica Hausner;06-12-2019;rcwil@aol.com;34314697
Cinemaxx;Odense;09-12-2019 19:00:00;Little Joe;Drama, Horror, Mystery;01:45:00;Jessica Hausner;06-12-2019;nogin@verizon.net;73835126
Cinemaxx;Århus;10-12-2019 19:00:00;Little Joe;Drama, Horror, Mystery;01:45:00;Jessica Hausner;06-12-2019;jbarta@icloud.com;22095188
Cinemaxx;Århus;11-12-2019 19:00:00;Little Joe;Drama, Horror, Mystery;01:45:00;Jessica Hausner;06-12-2019;trygstad@verizon.net;19273615
Nordisk Film;Odense;07-12-2019 19:00:00;Little Joe;Drama, Horror, Mystery;01:45:00;Jessica Hausner;06-12-2019;mcrawfor@gmail.com;74852145
Nordisk Film;Odense;08-12-2019 19:00:00;Little Joe;Drama, Horror, Mystery;01:45:00;Jessica Hausner;06-12-2019;forsberg@msn.com;67319619
Nordisk Film;Odense;09-12-2019 19:00:00;Little Joe;Drama, Horror, Mystery;01:45:00;Jessica Hausner;06-12-2019;stellaau@outlook.com;37998925
Nordisk Film;Århus;10-12-2019 19:00:00;Little Joe;Drama, Horror, Mystery;01:45:00;Jessica Hausner;06-12-2019;floxy@sbcglobal.net;96704280
Nordisk Film;Århus;11-12-2019 19:00:00;Little Joe;Drama, Horror, Mystery;01:45:00;Jessica Hausner;06-12-2019;rhavyn@msn.com;40707062
Cinemaxx;Odense;04-10-2019 21:00:00;Pain & Glory;Drama;01:53:00;Pedro Almodóvar;04-10-2019;pajas@comcast.net;63686486
Cinemaxx;Odense;04-10-2019 19:00:00;Pain & Glory;Drama;01:53:00;Pedro Almodóvar;04-10-2019;ralamosm@live.com;79808588
Cinemaxx;Odense;04-10-2019 17:00:00;Pain & Glory;Drama;01:53:00;Pedro Almodóvar;04-10-2019;stevelim@comcast.net;16066473
Cinemaxx;Århus;04-10-2019 15:00:00;Pain & Glory;Drama;01:53:00;Pedro Almodóvar;04-10-2019;sriha@comcast.net;54831109
Cinemaxx;Århus;04-10-2019 13:00:00;Pain & Glory;Drama;01:53:00;Pedro Almodóvar;04-10-2019;kenja@optonline.net;48575566
Nordisk Film;Odense;04-10-2019 21:00:00;Pain & Glory;Drama;01:53:00;Pedro Almodóvar;04-10-2019;demmel@verizon.net;15127824
Nordisk Film;Odense;04-10-2019 19:00:00;Pain & Glory;Drama;01:53:00;Pedro Almodóvar;04-10-2019;curly@msn.com;71936310
Nordisk Film;Odense;04-10-2019 17:00:00;Pain & Glory;Drama;01:53:00;Pedro Almodóvar;04-10-2019;lipeng@mac.com;30424281
Nordisk Film;Århus;04-10-2019 15:00:00;Pain & Glory;Drama;01:53:00;Pedro Almodóvar;04-10-2019;tubesteak@yahoo.com;38560082
Nordisk Film;Århus;04-10-2019 13:00:00;Pain & Glory;Drama;01:53:00;Pedro Almodóvar;04-10-2019;duchamp@comcast.net;74221414
Cinemaxx;Odense;01-12-2019 19:00:00;Parasite;Comedy, Drama, Thriller ;02:12:00;Bong Joon Ho;08-11-2019;whimsy@mac.com;56109141
Cinemaxx;Odense;01-12-2019 19:00:00;Parasite;Comedy, Drama, Thriller ;02:12:00;Bong Joon Ho;08-11-2019;dgriffith@gmail.com;79763519
Cinemaxx;Odense;01-12-2019 19:00:00;Parasite;Comedy, Drama, Thriller ;02:12:00;Bong Joon Ho;08-11-2019;tarreau@hotmail.com;28705227
Cinemaxx;Århus;15-11-2019 21:00:00;Parasite;Comedy, Drama, Thriller ;02:12:00;Bong Joon Ho;08-11-2019;eurohack@icloud.com;69874494
Cinemaxx;Århus;15-11-2019 21:00:00;Parasite;Comedy, Drama, Thriller ;02:12:00;Bong Joon Ho;08-11-2019;dieman@outlook.com;96565732
Nordisk Film;Odense;15-11-2019 21:00:00;Parasite;Comedy, Drama, Thriller ;02:12:00;Bong Joon Ho;08-11-2019;suresh@live.com;93856726
Nordisk Film;Odense;15-11-2019 21:00:00;Parasite;Comedy, Drama, Thriller ;02:12:00;Bong Joon Ho;08-11-2019;nacho@icloud.com;49086974
Nordisk Film;Odense;23-12-2019 15:00:00;Parasite;Comedy, Drama, Thriller ;02:12:00;Bong Joon Ho;08-11-2019;tellis@aol.com;23863829
Nordisk Film;Århus;23-12-2019 15:00:00;Parasite;Comedy, Drama, Thriller ;02:12:00;Bong Joon Ho;08-11-2019;drezet@yahoo.com;83762157
Nordisk Film;Århus;23-12-2019 15:00:00;Parasite;Comedy, Drama, Thriller ;02:12:00;Bong Joon Ho;08-11-2019;kingjoshi@verizon.net;20455353
Cinemaxx;Odense;05-04-2019 19:00:00;Shoplifters;Crime, Drama;02:01:00;Hirokazu Koreeda;23-11-2018;hamilton@comcast.net;51493889
Cinemaxx;Odense;01-01-2019 21:00:00;Shoplifters;Crime, Drama;02:01:00;Hirokazu Koreeda;23-11-2018;miturria@comcast.net;61119486
Cinemaxx;Odense;30-11-2018 15:00:00;Shoplifters;Crime, Drama;02:01:00;Hirokazu Koreeda;23-11-2018;zeller@verizon.net;25745729
Cinemaxx;Århus;05-04-2019 19:00:00;Shoplifters;Crime, Drama;02:01:00;Hirokazu Koreeda;23-11-2018;grolschie@hotmail.com;55460510
Cinemaxx;Århus;01-01-2019 21:00:00;Shoplifters;Crime, Drama;02:01:00;Hirokazu Koreeda;23-11-2018;thurston@outlook.com;99816937
Nordisk Film;Odense;30-11-2018 15:00:00;Shoplifters;Crime, Drama;02:01:00;Hirokazu Koreeda;23-11-2018;lpalmer@outlook.com;86657804
Nordisk Film;Odense;12-02-2019 21:00:00;Shoplifters;Crime, Drama;02:01:00;Hirokazu Koreeda;23-11-2018;quantaman@icloud.com;66362819
Nordisk Film;Odense;12-12-2018 21:00:00;Shoplifters;Crime, Drama;02:01:00;Hirokazu Koreeda;23-11-2018;muadip@live.com;70059931
Nordisk Film;Århus;26-12-2018 19:00:00;Shoplifters;Crime, Drama;02:01:00;Hirokazu Koreeda;23-11-2018;airship@hotmail.com;34333098
Nordisk Film;Århus;02-05-2019 15:00:00;Shoplifters;Crime, Drama;02:01:00;Hirokazu Koreeda;23-11-2018;jshearer@yahoo.ca;89215942
Cinemaxx;Odense;05-04-2019 19:00:00;The Favourite;Biography, Comedy, Drama;01:59:00;Yorgos Lanthimos;21-12-2018;ahmad@live.com;23121126
Cinemaxx;Odense;01-01-2019 21:00:00;The Favourite;Biography, Comedy, Drama;01:59:00;Yorgos Lanthimos;21-12-2018;staffelb@hotmail.com;10374817
Cinemaxx;Odense;21-12-2018 15:00:00;The Favourite;Biography, Comedy, Drama;01:59:00;Yorgos Lanthimos;21-12-2018;temmink@live.com;17995916
Cinemaxx;Århus;05-04-2019 19:00:00;The Favourite;Biography, Comedy, Drama;01:59:00;Yorgos Lanthimos;21-12-2018;nimaclea@yahoo.ca;11734156
Cinemaxx;Århus;01-01-2019 21:00:00;The Favourite;Biography, Comedy, Drama;01:59:00;Yorgos Lanthimos;21-12-2018;danneng@me.com;78999927
Nordisk Film;Odense;21-12-2018 15:00:00;The Favourite;Biography, Comedy, Drama;01:59:00;Yorgos Lanthimos;21-12-2018;airship@mac.com;81203820
Nordisk Film;Odense;12-02-2019 21:00:00;The Favourite;Biography, Comedy, Drama;01:59:00;Yorgos Lanthimos;21-12-2018;zavadsky@hotmail.com;12163237
Nordisk Film;Odense;26-12-2018 21:00:00;The Favourite;Biography, Comedy, Drama;01:59:00;Yorgos Lanthimos;21-12-2018;jbryan@me.com;52270069
Nordisk Film;Århus;26-12-2018 19:00:00;The Favourite;Biography, Comedy, Drama;01:59:00;Yorgos Lanthimos;21-12-2018;dmouse@aol.com;62803725
Nordisk Film;Århus;02-05-2019 15:00:00;The Favourite;Biography, Comedy, Drama;01:59:00;Yorgos Lanthimos;21-12-2018;mfleming@me.com;17759965
Cinemaxx;Odense;26-12-2017 20:00:00;The Shape of Water;Adventure, Drama, Fantasy;02:03:00;Guillermo del Toro;22-12-2017;nimaclea@hotmail.com;99154371
Cinemaxx;Odense;27-12-2017 20:00:00;The Shape of Water;Adventure, Drama, Fantasy;02:03:00;Guillermo del Toro;22-12-2017;msroth@msn.com;88394675
Cinemaxx;Odense;26-12-2017 20:00:00;The Shape of Water;Adventure, Drama, Fantasy;02:03:00;Guillermo del Toro;22-12-2017;cderoove@optonline.net;47529304
Cinemaxx;Århus;26-12-2017 20:00:00;The Shape of Water;Adventure, Drama, Fantasy;02:03:00;Guillermo del Toro;22-12-2017;amimojo@me.com;18305746
Cinemaxx;Århus;27-12-2017 20:00:00;The Shape of Water;Adventure, Drama, Fantasy;02:03:00;Guillermo del Toro;22-12-2017;caidaperl@hotmail.com;84432262
Nordisk Film;Odense;28-12-2017 20:00:00;The Shape of Water;Adventure, Drama, Fantasy;02:03:00;Guillermo del Toro;22-12-2017;cmdrgravy@gmail.com;39234086
Nordisk Film;Odense;26-12-2017 20:00:00;The Shape of Water;Adventure, Drama, Fantasy;02:03:00;Guillermo del Toro;22-12-2017;novanet@optonline.net;17447521
Nordisk Film;Odense;27-12-2017 20:00:00;The Shape of Water;Adventure, Drama, Fantasy;02:03:00;Guillermo del Toro;22-12-2017;mhassel@hotmail.com;62246767
Nordisk Film;Århus;28-12-2017 20:00:00;The Shape of Water;Adventure, Drama, Fantasy;02:03:00;Guillermo del Toro;22-12-2017;mirod@outlook.com;94268291
Nordisk Film;Århus;29-12-2017 20:00:00;The Shape of Water;Adventure, Drama, Fantasy;02:03:00;Guillermo del Toro;22-12-2017;kronvold@comcast.net;99381136
Cinemaxx;Odense;02-12-2017 19:00:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55:00;Martin McDonagh;01-12-2017;rupak@optonline.net;88958581
Cinemaxx;Odense;03-12-2017 19:00:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55:00;Martin McDonagh;01-12-2017;ideguy@live.com;57857373
Cinemaxx;Odense;04-12-2017 19:00:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55:00;Martin McDonagh;01-12-2017;tattooman@aol.com;22722611
Cinemaxx;Århus;05-12-2017 19:00:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55:00;Martin McDonagh;01-12-2017;lydia@yahoo.ca;24003908
Cinemaxx;Århus;06-12-2017 19:00:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55:00;Martin McDonagh;01-12-2017;jeteve@verizon.net;67962658
Nordisk Film;Odense;07-12-2017 19:00:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55:00;Martin McDonagh;01-12-2017;fwiles@icloud.com;86796024
Nordisk Film;Odense;08-12-2017 19:00:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55:00;Martin McDonagh;01-12-2017;gboss@optonline.net;55397707
Nordisk Film;Odense;09-12-2017 19:00:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55:00;Martin McDonagh;01-12-2017;mcrawfor@icloud.com;98974761
Nordisk Film;Århus;10-12-2017 19:00:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55:00;Martin McDonagh;01-12-2017;mwilson@outlook.com;36874444
Nordisk Film;Århus;11-12-2017 19:00:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55:00;Martin McDonagh;01-12-2017;lridener@yahoo.com;56571001
Biograf;By;17-08-2024 09:23:11;Ringenes Herre;Fantasy;02:30:00;Instruktør;17-08-2024;mail@mail.dk;12345678
Biograf;By;19-08-2024 14:25:44;Gladiator;Eventyr;01:30:00;Instruktør;19-08-2024;mail@mail.dk;12345678
